contcod,country,region,year,inc_con,source,mysample,bin_year,group,pop,RRinc,RRmean,cons_2005ppp_pc,gdp_2005ppp_pc,totpop
ALB,Albania,"Russia, C. Asia, SE Europe",1996,C,povcal,1,1998,8,.3079037,2255,1817,3701.436556033435,3961.75732421875,3.079037
ALB,Albania,"Russia, C. Asia, SE Europe",1996,C,povcal,1,1998,9,.3079037,2769,1817,3701.436556033435,3961.75732421875,3.079037
ALB,Albania,"Russia, C. Asia, SE Europe",1996,C,povcal,1,1998,10,.3079037,4126,1817,3701.436556033435,3961.75732421875,3.079037
ALB,Albania,"Russia, C. Asia, SE Europe",2002,C,povcal,1,2003,1,.3106701,644,1630,4417.634333599372,5253.75634765625,3.106701
ALB,Albania,"Russia, C. Asia, SE Europe",2002,C,povcal,1,2003,2,.3106701,838,1630,4417.634333599372,5253.75634765625,3.106701
ALB,Albania,"Russia, C. Asia, SE Europe",2002,C,povcal,1,2003,3,.3106701,1011,1630,4417.634333599372,5253.75634765625,3.106701
ALB,Albania,"Russia, C. Asia, SE Europe",2002,C,povcal,1,2003,4,.3106701,1171,1630,4417.634333599372,5253.75634765625,3.106701
ALB,Albania,"Russia, C. Asia, SE Europe",2002,C,povcal,1,2003,5,.3106701,1332,1630,4417.634333599372,5253.75634765625,3.106701
ALB,Albania,"Russia, C. Asia, SE Europe",2002,C,povcal,1,2003,6,.3106701,1508,1630,4417.634333599372,5253.75634765625,3.106701
ALB,Albania,"Russia, C. Asia, SE Europe",2002,C,povcal,1,2003,7,.3106701,1715,1630,4417.634333599372,5253.75634765625,3.106701
ALB,Albania,"Russia, C. Asia, SE Europe",2002,C,povcal,1,2003,8,.3106701,1986,1630,4417.634333599372,5253.75634765625,3.106701
ALB,Albania,"Russia, C. Asia, SE Europe",2002,C,povcal,1,2003,9,.3106701,2418,1630,4417.634333599372,5253.75634765625,3.106701
ALB,Albania,"Russia, C. Asia, SE Europe",2002,C,povcal,1,2003,10,.3106701,3681,1630,4417.634333599372,5253.75634765625,3.106701
ALB,Albania,"Russia, C. Asia, SE Europe",2008,C,povcal,1,2008,1,.3181397,736,2086,5741.370055984839,7216.11962890625,3.181397
ALB,Albania,"Russia, C. Asia, SE Europe",2008,C,povcal,1,2008,2,.3181397,962,2086,5741.370055984839,7216.11962890625,3.181397
ALB,Albania,"Russia, C. Asia, SE Europe",2008,C,povcal,1,2008,3,.3181397,1162,2086,5741.370055984839,7216.11962890625,3.181397
ALB,Albania,"Russia, C. Asia, SE Europe",2008,C,povcal,1,2008,4,.3181397,1352,2086,5741.370055984839,7216.11962890625,3.181397
ALB,Albania,"Russia, C. Asia, SE Europe",2008,C,povcal,1,2008,5,.3181397,1548,2086,5741.370055984839,7216.11962890625,3.181397
ALB,Albania,"Russia, C. Asia, SE Europe",2008,C,povcal,1,2008,6,.3181397,1759,2086,5741.370055984839,7216.11962890625,3.181397
ALB,Albania,"Russia, C. Asia, SE Europe",2008,C,povcal,1,2008,7,.3181397,2013,2086,5741.370055984839,7216.11962890625,3.181397
ALB,Albania,"Russia, C. Asia, SE Europe",2008,C,povcal,1,2008,8,.3181397,2355,2086,5741.370055984839,7216.11962890625,3.181397
ALB,Albania,"Russia, C. Asia, SE Europe",2008,C,povcal,1,2008,9,.3181397,2927,2086,5741.370055984839,7216.11962890625,3.181397
ALB,Albania,"Russia, C. Asia, SE Europe",2008,C,povcal,1,2008,10,.3181397,6048,2086,5741.370055984839,7216.11962890625,3.181397
ARG,Argentina,L. America & Carib.,1987,I,povcal,1,1988,1,3.172913,1107,6397,9201.201876605535,8849.7685546875,31.72913
ARG,Argentina,L. America & Carib.,1987,I,povcal,1,1988,2,3.172913,1842,6397,9201.201876605535,8849.7685546875,31.72913
ARG,Argentina,L. America & Carib.,1987,I,povcal,1,1988,3,3.172913,2565,6397,9201.201876605535,8849.7685546875,31.72913
ARG,Argentina,L. America & Carib.,1987,I,povcal,1,1988,4,3.172913,3307,6397,9201.201876605535,8849.7685546875,31.72913
ARG,Argentina,L. America & Carib.,1987,I,povcal,1,1988,5,3.172913,4094,6397,9201.201876605535,8849.7685546875,31.72913
ARG,Argentina,L. America & Carib.,1987,I,povcal,1,1988,6,3.172913,4996,6397,9201.201876605535,8849.7685546875,31.72913
ARG,Argentina,L. America & Carib.,1987,I,povcal,1,1988,7,3.172913,6116,6397,9201.201876605535,8849.7685546875,31.72913
ARG,Argentina,L. America & Carib.,1987,I,povcal,1,1988,8,3.172913,7645,6397,9201.201876605535,8849.7685546875,31.72913
ARG,Argentina,L. America & Carib.,1987,I,povcal,1,1988,9,3.172913,10280,6397,9201.201876605535,8849.7685546875,31.72913
ARG,Argentina,L. America & Carib.,1987,I,povcal,1,1988,10,3.172913,22020,6397,9201.201876605535,8849.7685546875,31.72913
ARG,Argentina,L. America & Carib.,1993,I,povcal,1,1993,1,3.3982036,741,4843,5800.065818304706,9569.5732421875,33.982036
ARG,Argentina,L. America & Carib.,1993,I,povcal,1,1993,2,3.3982036,1414,4843,5800.065818304706,9569.5732421875,33.982036
ARG,Argentina,L. America & Carib.,1993,I,povcal,1,1993,3,3.3982036,2063,4843,5800.065818304706,9569.5732421875,33.982036
ARG,Argentina,L. America & Carib.,1993,I,povcal,1,1993,4,3.3982036,2475,4843,5800.065818304706,9569.5732421875,33.982036
ARG,Argentina,L. America & Carib.,1993,I,povcal,1,1993,5,3.3982036,3128,4843,5800.065818304706,9569.5732421875,33.982036
ARG,Argentina,L. America & Carib.,1993,I,povcal,1,1993,6,3.3982036,3874,4843,5800.065818304706,9569.5732421875,33.982036
ARG,Argentina,L. America & Carib.,1993,I,povcal,1,1993,7,3.3982036,4606,4843,5800.065818304706,9569.5732421875,33.982036
ARG,Argentina,L. America & Carib.,1993,I,povcal,1,1993,8,3.3982036,5952,4843,5800.065818304706,9569.5732421875,33.982036
ARG,Argentina,L. America & Carib.,1993,I,povcal,1,1993,9,3.3982036,8146,4843,5800.065818304706,9569.5732421875,33.982036
ARG,Argentina,L. America & Carib.,1993,I,povcal,1,1993,10,3.3982036,16030,4843,5800.065818304706,9569.5732421875,33.982036
ARG,Argentina,L. America & Carib.,1998,I,povcal,1,1998,1,3.613464,485,4532,6583.661436892688,10963.6787109375,36.13464
ARG,Argentina,L. America & Carib.,1998,I,povcal,1,1998,2,3.613464,1079,4532,6583.661436892688,10963.6787109375,36.13464
ARG,Argentina,L. America & Carib.,1998,I,povcal,1,1998,3,3.613464,1523,4532,6583.661436892688,10963.6787109375,36.13464
ARG,Argentina,L. America & Carib.,1998,I,povcal,1,1998,4,3.613464,1994,4532,6583.661436892688,10963.6787109375,36.13464
ARG,Argentina,L. America & Carib.,1998,I,povcal,1,1998,5,3.613464,2552,4532,6583.661436892688,10963.6787109375,36.13464
ARG,Argentina,L. America & Carib.,1998,I,povcal,1,1998,6,3.613464,3209,4532,6583.661436892688,10963.6787109375,36.13464
ARG,Argentina,L. America & Carib.,1998,I,povcal,1,1998,7,3.613464,4378,4532,6583.661436892688,10963.6787109375,36.13464
ARG,Argentina,L. America & Carib.,1998,I,povcal,1,1998,8,3.613464,5139,4532,6583.661436892688,10963.6787109375,36.13464
ARG,Argentina,L. America & Carib.,1998,I,povcal,1,1998,9,3.613464,7818,4532,6583.661436892688,10963.6787109375,36.13464
ARG,Argentina,L. America & Carib.,1998,I,povcal,1,1998,10,3.613464,17145,4532,6583.661436892688,10963.6787109375,36.13464
ARG,Argentina,L. America & Carib.,2003,I,povcal,1,2003,1,3.8001251,248,3219,5322.102517098713,9263.6796875,38.001251
ARG,Argentina,L. America & Carib.,2003,I,povcal,1,2003,2,3.8001251,621,3219,5322.102517098713,9263.6796875,38.001251
ARG,Argentina,L. America & Carib.,2003,I,povcal,1,2003,3,3.8001251,953,3219,5322.102517098713,9263.6796875,38.001251
ARG,Argentina,L. America & Carib.,2003,I,povcal,1,2003,4,3.8001251,1271,3219,5322.102517098713,9263.6796875,38.001251
ARG,Argentina,L. America & Carib.,2003,I,povcal,1,2003,5,3.8001251,1648,3219,5322.102517098713,9263.6796875,38.001251
ARG,Argentina,L. America & Carib.,2003,I,povcal,1,2003,6,3.8001251,2124,3219,5322.102517098713,9263.6796875,38.001251
ARG,Argentina,L. America & Carib.,2003,I,povcal,1,2003,7,3.8001251,2762,3219,5322.102517098713,9263.6796875,38.001251
ARG,Argentina,L. America & Carib.,2003,I,povcal,1,2003,8,3.8001251,3814,3219,5322.102517098713,9263.6796875,38.001251
ARG,Argentina,L. America & Carib.,2003,I,povcal,1,2003,9,3.8001251,5372,3219,5322.102517098713,9263.6796875,38.001251
ARG,Argentina,L. America & Carib.,2003,I,povcal,1,2003,10,3.8001251,13374,3219,5322.102517098713,9263.6796875,38.001251
ARG,Argentina,L. America & Carib.,2008,I,povcal,1,2008,1,3.9714298,861,6473,7599.457205462879,13275.6845703125,39.714298
ARG,Argentina,L. America & Carib.,2008,I,povcal,1,2008,2,3.9714298,1683,6473,7599.457205462879,13275.6845703125,39.714298
ARG,Argentina,L. America & Carib.,2008,I,povcal,1,2008,3,3.9714298,2479,6473,7599.457205462879,13275.6845703125,39.714298
ARG,Argentina,L. America & Carib.,2008,I,povcal,1,2008,4,3.9714298,3237,6473,7599.457205462879,13275.6845703125,39.714298
ARG,Argentina,L. America & Carib.,2008,I,povcal,1,2008,5,3.9714298,4123,6473,7599.457205462879,13275.6845703125,39.714298
ARG,Argentina,L. America & Carib.,2008,I,povcal,1,2008,6,3.9714298,5081,6473,7599.457205462879,13275.6845703125,39.714298
ARG,Argentina,L. America & Carib.,2008,I,povcal,1,2008,7,3.9714298,6874,6473,7599.457205462879,13275.6845703125,39.714298
ARG,Argentina,L. America & Carib.,2008,I,povcal,1,2008,8,3.9714298,7677,6473,7599.457205462879,13275.6845703125,39.714298
ARG,Argentina,L. America & Carib.,2008,I,povcal,1,2008,9,3.9714298,10972,6473,7599.457205462879,13275.6845703125,39.714298
ARG,Argentina,L. America & Carib.,2008,I,povcal,1,2008,10,3.9714298,21743,6473,7599.457205462879,13275.6845703125,39.714298
ARM,Armenia,"Russia, C. Asia, SE Europe",1998,C,povcal,1,1998,1,.3109101,298,955,1694.033736440212,2075.96240234375,3.109101
ARM,Armenia,"Russia, C. Asia, SE Europe",1998,C,povcal,1,1998,2,.3109101,428,955,1694.033736440212,2075.96240234375,3.109101
ARM,Armenia,"Russia, C. Asia, SE Europe",1998,C,povcal,1,1998,3,.3109101,516,955,1694.033736440212,2075.96240234375,3.109101
ARM,Armenia,"Russia, C. Asia, SE Europe",1998,C,povcal,1,1998,4,.3109101,602,955,1694.033736440212,2075.96240234375,3.109101
ARM,Armenia,"Russia, C. Asia, SE Europe",1998,C,povcal,1,1998,5,.3109101,693,955,1694.033736440212,2075.96240234375,3.109101
ARM,Armenia,"Russia, C. Asia, SE Europe",1998,C,povcal,1,1998,6,.3109101,797,955,1694.033736440212,2075.96240234375,3.109101
ARM,Armenia,"Russia, C. Asia, SE Europe",1998,C,povcal,1,1998,7,.3109101,924,955,1694.033736440212,2075.96240234375,3.109101
ARM,Armenia,"Russia, C. Asia, SE Europe",1998,C,povcal,1,1998,8,.3109101,1095,955,1694.033736440212,2075.96240234375,3.109101
ARM,Armenia,"Russia, C. Asia, SE Europe",1998,C,povcal,1,1998,9,.3109101,1377,955,1694.033736440212,2075.96240234375,3.109101
ARM,Armenia,"Russia, C. Asia, SE Europe",1998,C,povcal,1,1998,10,.3109101,2825,955,1694.033736440212,2075.96240234375,3.109101
ARM,Armenia,"Russia, C. Asia, SE Europe",2003,C,povcal,1,2003,1,.3060554,368,1008,2375.403710570047,3262.4462890625,3.060554
ARM,Armenia,"Russia, C. Asia, SE Europe",2003,C,povcal,1,2003,2,.3060554,496,1008,2375.403710570047,3262.4462890625,3.060554
ARM,Armenia,"Russia, C. Asia, SE Europe",2003,C,povcal,1,2003,3,.3060554,579,1008,2375.403710570047,3262.4462890625,3.060554
ARM,Armenia,"Russia, C. Asia, SE Europe",2003,C,povcal,1,2003,4,.3060554,659,1008,2375.403710570047,3262.4462890625,3.060554
ARM,Armenia,"Russia, C. Asia, SE Europe",2003,C,povcal,1,2003,5,.3060554,744,1008,2375.403710570047,3262.4462890625,3.060554
ARM,Armenia,"Russia, C. Asia, SE Europe",2003,C,povcal,1,2003,6,.3060554,841,1008,2375.403710570047,3262.4462890625,3.060554
ARM,Armenia,"Russia, C. Asia, SE Europe",2003,C,povcal,1,2003,7,.3060554,960,1008,2375.403710570047,3262.4462890625,3.060554
ARM,Armenia,"Russia, C. Asia, SE Europe",2003,C,povcal,1,2003,8,.3060554,1122,1008,2375.403710570047,3262.4462890625,3.060554
ARM,Armenia,"Russia, C. Asia, SE Europe",2003,C,povcal,1,2003,9,.3060554,1396,1008,2375.403710570047,3262.4462890625,3.060554
ARM,Armenia,"Russia, C. Asia, SE Europe",2003,C,povcal,1,2003,10,.3060554,2918,1008,2375.403710570047,3262.4462890625,3.060554
ARM,Armenia,"Russia, C. Asia, SE Europe",2008,C,povcal,1,2008,1,.3079087,569,1522,3614.783150979495,5614.55224609375,3.079087
ARM,Armenia,"Russia, C. Asia, SE Europe",2008,C,povcal,1,2008,2,.3079087,767,1522,3614.783150979495,5614.55224609375,3.079087
ARM,Armenia,"Russia, C. Asia, SE Europe",2008,C,povcal,1,2008,3,.3079087,907,1522,3614.783150979495,5614.55224609375,3.079087
ARM,Armenia,"Russia, C. Asia, SE Europe",2008,C,povcal,1,2008,4,.3079087,1043,1522,3614.783150979495,5614.55224609375,3.079087
ARM,Armenia,"Russia, C. Asia, SE Europe",2008,C,povcal,1,2008,5,.3079087,1189,1522,3614.783150979495,5614.55224609375,3.079087
ARM,Armenia,"Russia, C. Asia, SE Europe",2008,C,povcal,1,2008,6,.3079087,1350,1522,3614.783150979495,5614.55224609375,3.079087
ARM,Armenia,"Russia, C. Asia, SE Europe",2008,C,povcal,1,2008,7,.3079087,1542,1522,3614.783150979495,5614.55224609375,3.079087
ARM,Armenia,"Russia, C. Asia, SE Europe",2008,C,povcal,1,2008,8,.3079087,1796,1522,3614.783150979495,5614.55224609375,3.079087
ARM,Armenia,"Russia, C. Asia, SE Europe",2008,C,povcal,1,2008,9,.3079087,2192,1522,3614.783150979495,5614.55224609375,3.079087
ARM,Armenia,"Russia, C. Asia, SE Europe",2008,C,povcal,1,2008,10,.3079087,3867,1522,3614.783150979495,5614.55224609375,3.079087
AUS,Australia,Mature economies,1989,I,wyd,1,1988,1,1.65322,2890,11678,12463.26584832049,23370.16796875,16.5322
AUS,Australia,Mature economies,1989,I,wyd,1,1988,2,1.65322,5284,11678,12463.26584832049,23370.16796875,16.5322
AUS,Australia,Mature economies,1989,I,wyd,1,1988,3,1.65322,6589,11678,12463.26584832049,23370.16796875,16.5322
AUS,Australia,Mature economies,1989,I,wyd,1,1988,4,1.65322,7711,11678,12463.26584832049,23370.16796875,16.5322
AUS,Australia,Mature economies,1989,I,wyd,1,1988,5,1.65322,8904,11678,12463.26584832049,23370.16796875,16.5322
AUS,Australia,Mature economies,1989,I,wyd,1,1988,6,1.65322,10469,11678,12463.26584832049,23370.16796875,16.5322
AUS,Australia,Mature economies,1989,I,wyd,1,1988,7,1.65322,12345,11678,12463.26584832049,23370.16796875,16.5322
AUS,Australia,Mature economies,1989,I,wyd,1,1988,8,1.65322,14849,11678,12463.26584832049,23370.16796875,16.5322
AUS,Australia,Mature economies,1989,I,wyd,1,1988,9,1.65322,18784,11678,12463.26584832049,23370.16796875,16.5322
AUS,Australia,Mature economies,1989,I,wyd,1,1988,10,1.65322,28953,11678,12463.26584832049,23370.16796875,16.5322
AUS,Australia,Mature economies,1994,I,wyd,1,1993,1,1.7667,1792,11173,13253.51815849902,24720.0078125,17.667
AUS,Australia,Mature economies,1994,I,wyd,1,1993,2,1.7667,4839,11173,13253.51815849902,24720.0078125,17.667
AUS,Australia,Mature economies,1994,I,wyd,1,1993,3,1.7667,6228,11173,13253.51815849902,24720.0078125,17.667
AUS,Australia,Mature economies,1994,I,wyd,1,1993,4,1.7667,7416,11173,13253.51815849902,24720.0078125,17.667
AUS,Australia,Mature economies,1994,I,wyd,1,1993,5,1.7667,8579,11173,13253.51815849902,24720.0078125,17.667
AUS,Australia,Mature economies,1994,I,wyd,1,1993,6,1.7667,10118,11173,13253.51815849902,24720.0078125,17.667
AUS,Australia,Mature economies,1994,I,wyd,1,1993,7,1.7667,11966,11173,13253.51815849902,24720.0078125,17.667
AUS,Australia,Mature economies,1994,I,wyd,1,1993,8,1.7667,14621,11173,13253.51815849902,24720.0078125,17.667
AUS,Australia,Mature economies,1994,I,wyd,1,1993,9,1.7667,18524,11173,13253.51815849902,24720.0078125,17.667
AUS,Australia,Mature economies,1994,I,wyd,1,1993,10,1.7667,27652,11173,13253.51815849902,24720.0078125,17.667
AUS,Australia,Mature economies,1999,I,wyd,1,1998,1,1.8711,3422,12063,15235.05620120469,28877.685546875,18.711
AUS,Australia,Mature economies,1999,I,wyd,1,1998,2,1.8711,5521,12063,15235.05620120469,28877.685546875,18.711
AUS,Australia,Mature economies,1999,I,wyd,1,1998,3,1.8711,6779,12063,15235.05620120469,28877.685546875,18.711
AUS,Australia,Mature economies,1999,I,wyd,1,1998,4,1.8711,7894,12063,15235.05620120469,28877.685546875,18.711
AUS,Australia,Mature economies,1999,I,wyd,1,1998,5,1.8711,9177,12063,15235.05620120469,28877.685546875,18.711
AUS,Australia,Mature economies,1999,I,wyd,1,1998,6,1.8711,10636,12063,15235.05620120469,28877.685546875,18.711
AUS,Australia,Mature economies,1999,I,wyd,1,1998,7,1.8711,12374,12063,15235.05620120469,28877.685546875,18.711
AUS,Australia,Mature economies,1999,I,wyd,1,1998,8,1.8711,15130,12063,15235.05620120469,28877.685546875,18.711
AUS,Australia,Mature economies,1999,I,wyd,1,1998,9,1.8711,18903,12063,15235.05620120469,28877.685546875,18.711
AUS,Australia,Mature economies,1999,I,wyd,1,1998,10,1.8711,30794,12063,15235.05620120469,28877.685546875,18.711
AUS,Australia,Mature economies,2003,I,wyd,1,2003,1,1.98954,3017,12602,16728.13366868724,31276.544921875,19.8954
AUS,Australia,Mature economies,2003,I,wyd,1,2003,2,1.98954,5851,12602,16728.13366868724,31276.544921875,19.8954
AUS,Australia,Mature economies,2003,I,wyd,1,2003,3,1.98954,7065,12602,16728.13366868724,31276.544921875,19.8954
AUS,Australia,Mature economies,2003,I,wyd,1,2003,4,1.98954,8250,12602,16728.13366868724,31276.544921875,19.8954
AUS,Australia,Mature economies,2003,I,wyd,1,2003,5,1.98954,9596,12602,16728.13366868724,31276.544921875,19.8954
AUS,Australia,Mature economies,2003,I,wyd,1,2003,6,1.98954,11196,12602,16728.13366868724,31276.544921875,19.8954
AUS,Australia,Mature economies,2003,I,wyd,1,2003,7,1.98954,13258,12602,16728.13366868724,31276.544921875,19.8954
AUS,Australia,Mature economies,2003,I,wyd,1,2003,8,1.98954,15990,12602,16728.13366868724,31276.544921875,19.8954
AUS,Australia,Mature economies,2003,I,wyd,1,2003,9,1.98954,20006,12602,16728.13366868724,31276.544921875,19.8954
AUS,Australia,Mature economies,2003,I,wyd,1,2003,10,1.98954,31786,12602,16728.13366868724,31276.544921875,19.8954
AUT,Austria,Mature economies,1987,I,wyd,1,1988,1,.7585317,6137,14056,13816.96814901831,23062.646484375,7.585317
AUT,Austria,Mature economies,1987,I,wyd,1,1988,2,.7585317,8333,14056,13816.96814901831,23062.646484375,7.585317
AUT,Austria,Mature economies,1987,I,wyd,1,1988,3,.7585317,9790,14056,13816.96814901831,23062.646484375,7.585317
AUT,Austria,Mature economies,1987,I,wyd,1,1988,4,.7585317,11059,14056,13816.96814901831,23062.646484375,7.585317
AUT,Austria,Mature economies,1987,I,wyd,1,1988,5,.7585317,12331,14056,13816.96814901831,23062.646484375,7.585317
AUT,Austria,Mature economies,1987,I,wyd,1,1988,6,.7585317,13689,14056,13816.96814901831,23062.646484375,7.585317
AUT,Austria,Mature economies,1987,I,wyd,1,1988,7,.7585317,15204,14056,13816.96814901831,23062.646484375,7.585317
AUT,Austria,Mature economies,1987,I,wyd,1,1988,8,.7585317,17063,14056,13816.96814901831,23062.646484375,7.585317
AUT,Austria,Mature economies,1987,I,wyd,1,1988,9,.7585317,19638,14056,13816.96814901831,23062.646484375,7.585317
AUT,Austria,Mature economies,1987,I,wyd,1,1988,10,.7585317,27312,14056,13816.96814901831,23062.646484375,7.585317
AUT,Austria,Mature economies,1994,I,lis,1,1993,1,.7905633,4249,14495,15840.17118293856,26754.048828125,7.905633
AUT,Austria,Mature economies,1994,I,lis,1,1993,2,.7905633,7158,14495,15840.17118293856,26754.048828125,7.905633
AUT,Austria,Mature economies,1994,I,lis,1,1993,3,.7905633,8665,14495,15840.17118293856,26754.048828125,7.905633
AUT,Austria,Mature economies,1994,I,lis,1,1993,4,.7905633,10050,14495,15840.17118293856,26754.048828125,7.905633
AUT,Austria,Mature economies,1994,I,lis,1,1993,5,.7905633,11452,14495,15840.17118293856,26754.048828125,7.905633
AUT,Austria,Mature economies,1994,I,lis,1,1993,6,.7905633,13139,14495,15840.17118293856,26754.048828125,7.905633
AUT,Austria,Mature economies,1994,I,lis,1,1993,7,.7905633,15200,14495,15840.17118293856,26754.048828125,7.905633
AUT,Austria,Mature economies,1994,I,lis,1,1993,8,.7905633,17659,14495,15840.17118293856,26754.048828125,7.905633
AUT,Austria,Mature economies,1994,I,lis,1,1993,9,.7905633,21519,14495,15840.17118293856,26754.048828125,7.905633
AUT,Austria,Mature economies,1994,I,lis,1,1993,10,.7905633,35860,14495,15840.17118293856,26754.048828125,7.905633
AUT,Austria,Mature economies,2000,I,wyd,1,1998,1,.7976789,4876,14766,17465.3207764874,31775.732421875,7.976789
AUT,Austria,Mature economies,2000,I,wyd,1,1998,2,.7976789,7690,14766,17465.3207764874,31775.732421875,7.976789
AUT,Austria,Mature economies,2000,I,wyd,1,1998,3,.7976789,9149,14766,17465.3207764874,31775.732421875,7.976789
AUT,Austria,Mature economies,2000,I,wyd,1,1998,4,.7976789,10545,14766,17465.3207764874,31775.732421875,7.976789
AUT,Austria,Mature economies,2000,I,wyd,1,1998,5,.7976789,12043,14766,17465.3207764874,31775.732421875,7.976789
AUT,Austria,Mature economies,2000,I,wyd,1,1998,6,.7976789,13716,14766,17465.3207764874,31775.732421875,7.976789
AUT,Austria,Mature economies,2000,I,wyd,1,1998,7,.7976789,15685,14766,17465.3207764874,31775.732421875,7.976789
AUT,Austria,Mature economies,2000,I,wyd,1,1998,8,.7976789,18117,14766,17465.3207764874,31775.732421875,7.976789
AUT,Austria,Mature economies,2000,I,wyd,1,1998,9,.7976789,21770,14766,17465.3207764874,31775.732421875,7.976789
AUT,Austria,Mature economies,2000,I,wyd,1,1998,10,.7976789,34065,14766,17465.3207764874,31775.732421875,7.976789
AUT,Austria,Mature economies,2005,I,wyd,1,2003,1,.8121423,5794,16544,18419.37994579129,33626.38671875,8.121423
AUT,Austria,Mature economies,2005,I,wyd,1,2003,2,.8121423,8633,16544,18419.37994579129,33626.38671875,8.121423
AUT,Austria,Mature economies,2005,I,wyd,1,2003,3,.8121423,10398,16544,18419.37994579129,33626.38671875,8.121423
AUT,Austria,Mature economies,2005,I,wyd,1,2003,4,.8121423,11978,16544,18419.37994579129,33626.38671875,8.121423
AUT,Austria,Mature economies,2005,I,wyd,1,2003,5,.8121423,13551,16544,18419.37994579129,33626.38671875,8.121423
AUT,Austria,Mature economies,2005,I,wyd,1,2003,6,.8121423,15211,16544,18419.37994579129,33626.38671875,8.121423
AUT,Austria,Mature economies,2005,I,wyd,1,2003,7,.8121423,17194,16544,18419.37994579129,33626.38671875,8.121423
AUT,Austria,Mature economies,2005,I,wyd,1,2003,8,.8121423,19917,16544,18419.37994579129,33626.38671875,8.121423
AUT,Austria,Mature economies,2005,I,wyd,1,2003,9,.8121423,24005,16544,18419.37994579129,33626.38671875,8.121423
AUT,Austria,Mature economies,2005,I,wyd,1,2003,10,.8121423,38755,16544,18419.37994579129,33626.38671875,8.121423
AUT,Austria,Mature economies,2008,I,wyd,1,2008,1,.8336926,5535,14826,18829.54742407453,36177.359375,8.336926
AUT,Austria,Mature economies,2008,I,wyd,1,2008,2,.8336926,7908,14826,18829.54742407453,36177.359375,8.336926
